,State,Year,Quarter,Brand,Count,Percentage
267,andhra-pradesh,2020,3,Oppo,1695723,0.10806010933314555
268,andhra-pradesh,2020,3,Realme,1207622,0.07695582671999607
269,andhra-pradesh,2020,3,Motorola,477313,0.03041681628787939
270,andhra-pradesh,2020,3,Huawei,408520,0.026032975824929323
271,andhra-pradesh,2020,3,Apple,370327,0.023599123270142467
272,andhra-pradesh,2020,3,OnePlus,322028,0.020521264904901446
273,andhra-pradesh,2020,3,Lenovo,260912,0.01662664199655821
274,andhra-pradesh,2020,3,Others,1129155,0.07195550968764826
275,andhra-pradesh,2020,4,Xiaomi,4325662,0.2533098430509883
276,andhra-pradesh,2020,4,Samsung,3419866,0.20026662270778695
277,andhra-pradesh,2020,4,Vivo,2950572,0.1727848662772636
278,andhra-pradesh,2020,4,Oppo,1856052,0.10869000879275194
279,andhra-pradesh,2020,4,Realme,1361491,0.07972862223755187
280,andhra-pradesh,2020,4,Motorola,506158,0.02964050439886476
281,andhra-pradesh,2020,4,Huawei,437125,0.025597946659647302
282,andhra-pradesh,2020,4,Apple,394191,0.02308374078744759
283,andhra-pradesh,2020,4,OnePlus,336518,0.019706422222502008
284,andhra-pradesh,2020,4,Lenovo,276671,0.016201794681775874
285,andhra-pradesh,2020,4,Others,1212259,0.07098962818341979
286,andhra-pradesh,2021,1,Xiaomi,4644641,0.2529246640647629
287,andhra-pradesh,2021,1,Samsung,3635596,0.19797695817075972
288,andhra-pradesh,2021,1,Vivo,3245151,0.17671521362241543
289,andhra-pradesh,2021,1,Oppo,2010506,0.10948242386229423
290,andhra-pradesh,2021,1,Realme,1531645,0.0834059719774841
291,andhra-pradesh,2021,1,Motorola,518115,0.028214034695451085
292,andhra-pradesh,2021,1,Huawei,455604,0.024809988252388553
293,andhra-pradesh,2021,1,Apple,421002,0.022925730841327305
294,andhra-pradesh,2021,1,OnePlus,355922,0.019381789094842537
295,andhra-pradesh,2021,1,Lenovo,277980,0.015137445093543889
296,andhra-pradesh,2021,1,Others,1267571,0.06902578032473027
297,andhra-pradesh,2021,2,Xiaomi,4937684,0.25165424326757607
298,andhra-pradesh,2021,2,Samsung,3798250,0.19358179451967175
299,andhra-pradesh,2021,2,Vivo,3572140,0.18205786124544204
300,andhra-pradesh,2021,2,Oppo,2173037,0.11075110959458802
301,andhra-pradesh,2021,2,Realme,1817804,0.09264628721254192
302,andhra-pradesh,2021,2,Motorola,503072,0.0256395920575529
303,andhra-pradesh,2021,2,Apple,450689,0.022969837527881613
304,andhra-pradesh,2021,2,Huawei,440324,0.022441574432983596
305,andhra-pradesh,2021,2,OnePlus,394851,0.020123995299910987
306,andhra-pradesh,2021,2,Lenovo,261201,0.013312382889576195
307,andhra-pradesh,2021,2,Others,1271853,0.06482132195227489
308,arunachal-pradesh,2018,1,Xiaomi,5212,0.24247499418469412
309,arunachal-pradesh,2018,1,Samsung,4354,0.2025587345894394
310,arunachal-pradesh,2018,1,Vivo,3523,0.16389858106536404
311,arunachal-pradesh,2018,1,Oppo,2608,0.12133054198650849
312,arunachal-pradesh,2018,1,Realme,1297,0.06033961386368923
313,arunachal-pradesh,2018,1,Apple,628,0.029216096766689927
314,arunachal-pradesh,2018,1,Gionee,563,0.02619213770644336
315,arunachal-pradesh,2018,1,Lenovo,420,0.019539427773900907
316,arunachal-pradesh,2018,1,OnePlus,403,0.018748546173528727
317,arunachal-pradesh,2018,1,Motorola,343,0.015957199348685742
318,arunachal-pradesh,2018,1,Others,2144,0.09974412654105606
319,arunachal-pradesh,2018,2,Xiaomi,8058,0.24505063406623484
320,arunachal-pradesh,2018,2,Samsung,6633,0.20171517197336009
321,arunachal-pradesh,2018,2,Vivo,5591,0.17002706565702644
322,arunachal-pradesh,2018,2,Oppo,4204,0.12784721588662834
323,arunachal-pradesh,2018,2,Realme,1943,0.0590882826992671
324,arunachal-pradesh,2018,2,Apple,869,0.026427029164005716
325,arunachal-pradesh,2018,2,Gionee,730,0.022199920931788464
326,arunachal-pradesh,2018,2,Lenovo,581,0.017668704193656296
327,arunachal-pradesh,2018,2,OnePlus,554,0.01684761122768604
328,arunachal-pradesh,2018,2,Motorola,514,0.015631177204026396
329,arunachal-pradesh,2018,2,Others,3206,0.09749718699632029
330,arunachal-pradesh,2018,3,Xiaomi,11250,0.24498061931100562
331,arunachal-pradesh,2018,3,Samsung,9307,0.20266974434911372
332,arunachal-pradesh,2018,3,Vivo,8226,0.1791298288402073
333,arunachal-pradesh,2018,3,Oppo,5992,0.13048212185880406
334,arunachal-pradesh,2018,3,Realme,2676,0.05827272331344454
335,arunachal-pradesh,2018,3,Apple,1153,0.02510779147249684
336,arunachal-pradesh,2018,3,Gionee,1024,0.02229868037106398
337,arunachal-pradesh,2018,3,OnePlus,740,0.016114280736901705
338,arunachal-pradesh,2018,3,Motorola,722,0.015722311746004095
339,arunachal-pradesh,2018,3,Lenovo,629,0.013697138626366448
340,arunachal-pradesh,2018,3,Others,4203,0.0915247593745917
341,arunachal-pradesh,2018,4,Xiaomi,15097,0.24408264890383496
342,arunachal-pradesh,2018,4,Samsung,12580,0.20338873439824096
343,arunachal-pradesh,2018,4,Vivo,11624,0.18793248399405033
344,arunachal-pradesh,2018,4,Oppo,8328,0.13464398887667334
345,arunachal-pradesh,2018,4,Realme,3613,0.0584136325421975
346,arunachal-pradesh,2018,4,Apple,1517,0.02452628855978788
347,arunachal-pradesh,2018,4,Gionee,1188,0.01920713962361767
348,arunachal-pradesh,2018,4,Motorola,944,0.015262238892840976
349,arunachal-pradesh,2018,4,OnePlus,896,0.014486192847442281
350,arunachal-pradesh,2018,4,Lenovo,831,0.013435297160964884
351,arunachal-pradesh,2018,4,Others,5234,0.08462135420034922
352,arunachal-pradesh,2019,1,Xiaomi,18809,0.24440921553594866
353,arunachal-pradesh,2019,1,Samsung,15537,0.20189196564315137
354,arunachal-pradesh,2019,1,Vivo,14892,0.19351066179814702
355,arunachal-pradesh,2019,1,Oppo,10738,0.13953246618241355
356,arunachal-pradesh,2019,1,Realme,4413,0.05734371142326234
357,arunachal-pradesh,2019,1,Apple,1870,0.024299284015749056
358,arunachal-pradesh,2019,1,Gionee,1310,0.01702249308055148
359,arunachal-pradesh,2019,1,Motorola,1137,0.01477448445235651
360,arunachal-pradesh,2019,1,OnePlus,1114,0.014475616253232324
361,arunachal-pradesh,2019,1,Huawei,972,0.012630429980378654
362,arunachal-pradesh,2019,1,Others,6165,0.08010967163480905
363,arunachal-pradesh,2019,2,Xiaomi,23326,0.24327058455441414
364,arunachal-pradesh,2019,2,Samsung,19719,0.2056526046826928
365,arunachal-pradesh,2019,2,Vivo,18958,0.1977160139750743
366,arunachal-pradesh,2019,2,Oppo,13678,0.14265004953850968
367,arunachal-pradesh,2019,2,Realme,5425,0.05657819262658393
368,arunachal-pradesh,2019,2,Apple,2169,0.022620847890702404
369,arunachal-pradesh,2019,2,Gionee,1608,0.016770089169317413
370,arunachal-pradesh,2019,2,Motorola,1404,0.014642540543359232
371,arunachal-pradesh,2019,2,OnePlus,1251,0.013046879073890598
372,arunachal-pradesh,2019,2,Huawei,1175,0.012254262919121866
373,arunachal-pradesh,2019,2,Others,7172,0.07479793502633363
374,arunachal-pradesh,2019,3,Xiaomi,27394,0.24426432692221955
375,arunachal-pradesh,2019,3,Vivo,22731,0.2026857127571356
376,arunachal-pradesh,2019,3,Samsung,22720,0.20258762895790422
377,arunachal-pradesh,2019,3,Oppo,16262,0.14500352210006331
378,arunachal-pradesh,2019,3,Realme,6477,0.057753524329240566
379,arunachal-pradesh,2019,3,Apple,2509,0.022372022933775604
380,arunachal-pradesh,2019,3,Gionee,1800,0.01605007623786213
381,arunachal-pradesh,2019,3,Motorola,1561,0.01391898278183488
382,arunachal-pradesh,2019,3,OnePlus,1390,0.012394225539237977
383,arunachal-pradesh,2019,3,Huawei,1377,0.01227830832196453
384,arunachal-pradesh,2019,3,Others,7928,0.07069166911876165
385,arunachal-pradesh,2019,4,Xiaomi,31369,0.242566945816998
386,arunachal-pradesh,2019,4,Vivo,26787,0.20713573201568192
387,arunachal-pradesh,2019,4,Samsung,26087,0.20172284470426305
388,arunachal-pradesh,2019,4,Oppo,19208,0.14852962782533385
389,arunachal-pradesh,2019,4,Realme,7743,0.0598742663604519
390,arunachal-pradesh,2019,4,Apple,2811,0.02173660890342636
391,arunachal-pradesh,2019,4,Gionee,1983,0.015333936483633749
392,arunachal-pradesh,2019,4,Motorola,1637,0.012658423612560992
393,arunachal-pradesh,2019,4,Huawei,1581,0.012225392627647482
394,arunachal-pradesh,2019,4,OnePlus,1535,0.011869688604325671
395,arunachal-pradesh,2019,4,Others,8580,0.06634653304567703
396,arunachal-pradesh,2020,1,Xiaomi,35625,0.23898809923121303
