,State,Year,Quarter,Name,Type,Count,Amount
95,andhra-pradesh,2019,2,Peer-to-peer payments,TOTAL,32494402,103924649232.47021
96,andhra-pradesh,2019,2,Recharge & bill payments,TOTAL,14093964,4708345387.9101095
97,andhra-pradesh,2019,2,Merchant payments,TOTAL,9226537,4613405202.681959
98,andhra-pradesh,2019,2,Financial Services,TOTAL,145310,26626696.771042537
99,andhra-pradesh,2019,2,Others,TOTAL,448802,361492238.3966455
100,andhra-pradesh,2019,3,Peer-to-peer payments,TOTAL,39023491,124338645329.51532
101,andhra-pradesh,2019,3,Recharge & bill payments,TOTAL,20147629,6893984676.598906
102,andhra-pradesh,2019,3,Merchant payments,TOTAL,16581787,7887394038.066369
103,andhra-pradesh,2019,3,Financial Services,TOTAL,122270,29778183.027080443
104,andhra-pradesh,2019,3,Others,TOTAL,413437,298142027.58625776
105,andhra-pradesh,2019,4,Peer-to-peer payments,TOTAL,57181511,178893550050.68753
106,andhra-pradesh,2019,4,Merchant payments,TOTAL,25122370,13476303367.50486
107,andhra-pradesh,2019,4,Recharge & bill payments,TOTAL,24469888,8335168605.691999
108,andhra-pradesh,2019,4,Financial Services,TOTAL,105662,26796571.745749153
109,andhra-pradesh,2019,4,Others,TOTAL,338672,216496893.16102877
110,andhra-pradesh,2020,1,Peer-to-peer payments,TOTAL,65452143,223088554055.04755
111,andhra-pradesh,2020,1,Merchant payments,TOTAL,31408022,18603161784.496994
112,andhra-pradesh,2020,1,Recharge & bill payments,TOTAL,30449644,10813530777.973532
113,andhra-pradesh,2020,1,Financial Services,TOTAL,75238,43739133.169823855
114,andhra-pradesh,2020,1,Others,TOTAL,292310,188228538.37489766
115,andhra-pradesh,2020,2,Peer-to-peer payments,TOTAL,73609921,262731724130.7907
116,andhra-pradesh,2020,2,Recharge & bill payments,TOTAL,41013987,16991006436.573467
117,andhra-pradesh,2020,2,Merchant payments,TOTAL,29976765,22625596525.44269
118,andhra-pradesh,2020,2,Financial Services,TOTAL,140941,145274999.15679634
119,andhra-pradesh,2020,2,Others,TOTAL,176241,90087654.60009979
120,andhra-pradesh,2020,3,Peer-to-peer payments,TOTAL,106791894,406461788252.32056
